id_odsp,event_team,cumgoal
CnLqrAwh/,Real Zaragoza,0
CnLqrAwh/,Valencia,1
fBAlsUhb/,Osasuna,2
fBAlsUhb/,Getafe,2
h8HjZydB/,Atalanta,1
h8HjZydB/,Internazionale,1
lzBaXFQN/,Bologna,1
lzBaXFQN/,Chievo Verona,0
OzW8vSxH/,Rayo Vallecano,2
OzW8vSxH/,Malaga,0
Qu4MjwRo/,Lazio,1
Qu4MjwRo/,Catania,1
rcA3WZuU/,Genoa,2
rcA3WZuU/,AS Roma,1
tO4kK6oo/,Sporting Gijon,2
tO4kK6oo/,Mallorca,1
tS8du8NA/,Villarreal,0
tS8du8NA/,Real Madrid,3
Y19htl84/,Levante,3
Y19htl84/,Real Sociedad,2
zX6eYeBH/,Cesena,1
zX6eYeBH/,Cagliari,1
4YqwNa7q/,Espanyol,1
4YqwNa7q/,Real Betis,0
bqHuqjOo/,Atletico Madrid,0
bqHuqjOo/,Athletic Bilbao,3
hhewmeQA/,Palermo,2
hhewmeQA/,Lecce,0
bkKh2WJl/,SC Freiburg,0
bkKh2WJl/,Bayer Leverkusen,1
00LMl81F/,AC Milan,3
00LMl81F/,AS Roma,2
2NAituEL/,Real Madrid,1
2NAituEL/,Real Sociedad,0
6Tn5L8es/,Caen,2
6Tn5L8es/,Paris Saint-Germain,4
AFhpr1q9/,Valencia,3
AFhpr1q9/,Getafe,1
AP3sFXY7/,Lyon,2
AP3sFXY7/,St Etienne,0
AsV8LKK9/,Schalke 04,3
AsV8LKK9/,TSG Hoffenheim,1
CbmoLwxd/,Barcelona,5
CbmoLwxd/,Mallorca,0
EcAYGg4e/,Marseille,3
EcAYGg4e/,Dijon FCO,2
EuN4aU37/,VfL Wolfsburg,2
EuN4aU37/,Hertha Berlin,3
h6z4M053/,Bayern Munich,4
h6z4M053/,Nurnberg,0
hWL8blJD/,Borussia Monchengladbach,2
hWL8blJD/,Hannover 96,1
pn0duaTR/,Villarreal,2
pn0duaTR/,Rayo Vallecano,0
SpGXwHB8/,Montpellier,2
SpGXwHB8/,AS Nancy Lorraine,0
t0pNT6Pk/,Napoli,1
t0pNT6Pk/,Catania,2
tE9c1jZf/,VfB Stuttgart,1
